SNo,BRate,Timestamp
1,,12-11-2024 10:55:22:875499
2,,12-11-2024 10:55:23:213834
3,,12-11-2024 10:55:23:526069
4,,12-11-2024 10:55:23:834766
5,,12-11-2024 10:55:24:242229
6,,12-11-2024 10:55:24:588018
7,,12-11-2024 10:55:24:905367
8,,12-11-2024 10:55:25:246647
9,,12-11-2024 10:55:25:650989
10,,12-11-2024 10:55:26:036317
11,,12-11-2024 10:55:26:363570
12,,12-11-2024 10:55:26:705838
13,,12-11-2024 10:55:27:059130
14,,12-11-2024 10:55:27:408393
15,,12-11-2024 10:55:27:742160
16,,12-11-2024 10:55:28:078927
17,,12-11-2024 10:55:28:430191
18,,12-11-2024 10:55:28:770477
19,,12-11-2024 10:55:29:190811
20,,12-11-2024 10:55:29:563121
21,,12-11-2024 10:55:29:888403
22,,12-11-2024 10:55:30:258761
23,12,12-11-2024 10:55:30:654011
24,12,12-11-2024 10:55:31:019309
25,12,12-11-2024 10:55:31:398602
26,12,12-11-2024 10:55:31:805428
27,12,12-11-2024 10:55:32:167213
28,12,12-11-2024 10:55:32:567537
29,13,12-11-2024 10:55:32:947835
30,13,12-11-2024 10:55:33:339140
31,13,12-11-2024 10:55:33:715941
32,13,12-11-2024 10:55:34:093749
33,13,12-11-2024 10:55:34:484009
34,11,12-11-2024 10:55:34:885310
35,11,12-11-2024 10:55:35:284666
36,11,12-11-2024 10:55:35:626699
37,11,12-11-2024 10:55:35:980474
38,11,12-11-2024 10:55:36:349279
39,11,12-11-2024 10:55:36:768667
40,11,12-11-2024 10:55:37:134949
41,11,12-11-2024 10:55:37:537259
42,11,12-11-2024 10:55:37:924592
43,11,12-11-2024 10:55:38:333905
44,12,12-11-2024 10:55:38:714197
45,12,12-11-2024 10:55:39:108513
46,12,12-11-2024 10:55:39:500835
47,13,12-11-2024 10:55:39:885760
48,13,12-11-2024 10:55:40:257576
49,13,12-11-2024 10:55:40:629861
50,13,12-11-2024 10:55:40:982147
51,13,12-11-2024 10:55:41:341412
52,14,12-11-2024 10:55:41:739730
53,14,12-11-2024 10:55:42:132050
54,14,12-11-2024 10:55:42:505340
55,14,12-11-2024 10:55:42:891144
56,14,12-11-2024 10:55:43:257936
57,14,12-11-2024 10:55:43:646743
58,14,12-11-2024 10:55:43:993988
59,14,12-11-2024 10:55:44:371327
60,14,12-11-2024 10:55:44:748176
61,14,12-11-2024 10:55:45:082017
62,14,12-11-2024 10:55:45:436343
63,16,12-11-2024 10:55:45:819235
64,16,12-11-2024 10:55:46:207558
65,16,12-11-2024 10:55:46:584139
66,17,12-11-2024 10:55:46:940921
67,17,12-11-2024 10:55:47:334769
68,17,12-11-2024 10:55:47:716681
69,17,12-11-2024 10:55:48:081001
70,17,12-11-2024 10:55:48:441795
71,18,12-11-2024 10:55:48:801583
72,18,12-11-2024 10:55:49:175164
73,18,12-11-2024 10:55:49:580027
74,18,12-11-2024 10:55:49:940298
75,18,12-11-2024 10:55:50:326603
76,18,12-11-2024 10:55:50:713921
77,18,12-11-2024 10:55:51:113247
78,18,12-11-2024 10:55:51:496554
79,18,12-11-2024 10:55:51:864336
80,18,12-11-2024 10:55:52:234129
81,18,12-11-2024 10:55:52:606910
82,18,12-11-2024 10:55:52:988708
83,18,12-11-2024 10:55:53:384515
84,18,12-11-2024 10:55:53:756278
85,18,12-11-2024 10:55:54:132619
86,18,12-11-2024 10:55:54:548948
87,19,12-11-2024 10:55:54:928246
88,19,12-11-2024 10:55:55:300530
89,19,12-11-2024 10:55:55:652801
90,19,12-11-2024 10:55:56:061125
91,19,12-11-2024 10:55:56:460431
92,24,12-11-2024 10:55:56:842736
93,24,12-11-2024 10:55:57:229545
94,24,12-11-2024 10:55:57:639908
95,24,12-11-2024 10:55:58:009750
96,24,12-11-2024 10:55:58:443127
97,25,12-11-2024 10:55:58:833797
98,25,12-11-2024 10:55:59:223177
99,25,12-11-2024 10:55:59:625016
100,25,12-11-2024 10:56:00:050853
101,25,12-11-2024 10:56:00:448670
102,25,12-11-2024 10:56:00:807978
103,25,12-11-2024 10:56:01:200287
104,25,12-11-2024 10:56:01:601871
105,25,12-11-2024 10:56:01:986205
106,25,12-11-2024 10:56:02:388561
107,25,12-11-2024 10:56:02:778869
108,25,12-11-2024 10:56:03:142699
109,25,12-11-2024 10:56:03:521478
110,26,12-11-2024 10:56:03:886239
111,26,12-11-2024 10:56:04:300563
112,26,12-11-2024 10:56:04:738407
113,26,12-11-2024 10:56:05:107713
114,26,12-11-2024 10:56:05:477004
115,26,12-11-2024 10:56:05:860306
116,26,12-11-2024 10:56:06:228618
117,26,12-11-2024 10:56:06:618426
118,25,12-11-2024 10:56:06:998719
119,25,12-11-2024 10:56:07:376507
120,26,12-11-2024 10:56:07:741802
121,26,12-11-2024 10:56:08:093067
122,26,12-11-2024 10:56:08:448345
123,27,12-11-2024 10:56:08:789613
124,27,12-11-2024 10:56:09:143894
125,27,12-11-2024 10:56:09:540204
126,27,12-11-2024 10:56:09:898481
127,27,12-11-2024 10:56:10:249787
128,27,12-11-2024 10:56:10:617096
129,26,12-11-2024 10:56:10:995402
130,26,12-11-2024 10:56:11:383722
131,27,12-11-2024 10:56:11:753089
132,27,12-11-2024 10:56:12:150403
133,27,12-11-2024 10:56:12:535200
134,27,12-11-2024 10:56:12:938018
135,27,12-11-2024 10:56:13:296273
136,27,12-11-2024 10:56:13:675542
137,27,12-11-2024 10:56:14:034828
138,27,12-11-2024 10:56:14:406614
139,27,12-11-2024 10:56:14:793927
140,27,12-11-2024 10:56:15:188227
141,27,12-11-2024 10:56:15:576502
142,27,12-11-2024 10:56:15:965280
143,27,12-11-2024 10:56:16:347578
144,27,12-11-2024 10:56:16:723883
145,27,12-11-2024 10:56:17:095678
146,27,12-11-2024 10:56:17:519715
147,26,12-11-2024 10:56:17:885005
148,26,12-11-2024 10:56:18:244225
149,26,12-11-2024 10:56:18:601059
150,26,12-11-2024 10:56:18:987432
151,26,12-11-2024 10:56:19:474789
152,26,12-11-2024 10:56:19:850840
153,26,12-11-2024 10:56:20:251704
154,26,12-11-2024 10:56:20:614022
155,26,12-11-2024 10:56:20:994271
156,26,12-11-2024 10:56:21:353048
157,24,12-11-2024 10:56:21:715889
158,24,12-11-2024 10:56:22:091224
159,24,12-11-2024 10:56:22:461061
160,24,12-11-2024 10:56:22:909022
161,24,12-11-2024 10:56:23:286208
162,24,12-11-2024 10:56:23:668013
163,23,12-11-2024 10:56:24:047814
164,23,12-11-2024 10:56:24:447126
165,22,12-11-2024 10:56:24:849440
166,22,12-11-2024 10:56:25:254261
167,22,12-11-2024 10:56:25:612046
168,22,12-11-2024 10:56:26:024393
169,22,12-11-2024 10:56:26:384164
170,22,12-11-2024 10:56:26:789981
171,22,12-11-2024 10:56:27:153281
172,22,12-11-2024 10:56:27:530583
173,21,12-11-2024 10:56:27:897891
174,21,12-11-2024 10:56:28:272178
175,21,12-11-2024 10:56:28:627460
176,21,12-11-2024 10:56:29:001762
177,21,12-11-2024 10:56:29:386565
178,22,12-11-2024 10:56:29:781379
179,22,12-11-2024 10:56:30:145668
180,22,12-11-2024 10:56:30:540978
181,21,12-11-2024 10:56:30:889767
182,21,12-11-2024 10:56:31:291590
183,21,12-11-2024 10:56:31:693959
184,21,12-11-2024 10:56:32:101335
185,21,12-11-2024 10:56:32:496165
186,21,12-11-2024 10:56:32:874040
187,21,12-11-2024 10:56:33:261875
188,21,12-11-2024 10:56:33:657734
189,21,12-11-2024 10:56:34:051558
190,21,12-11-2024 10:56:34:421882
191,22,12-11-2024 10:56:34:783692
192,22,12-11-2024 10:56:35:151988
193,22,12-11-2024 10:56:35:523223
194,24,12-11-2024 10:56:35:893792
195,24,12-11-2024 10:56:36:285148
196,24,12-11-2024 10:56:36:676496
197,24,12-11-2024 10:56:37:033750
198,24,12-11-2024 10:56:37:397776
199,23,12-11-2024 10:56:37:754081
200,23,12-11-2024 10:56:38:133369
201,23,12-11-2024 10:56:38:510160
202,23,12-11-2024 10:56:38:885965
203,23,12-11-2024 10:56:39:261253
204,23,12-11-2024 10:56:39:667075
205,24,12-11-2024 10:56:40:059019
206,24,12-11-2024 10:56:40:436318
207,24,12-11-2024 10:56:40:811942
208,24,12-11-2024 10:56:41:210263
209,24,12-11-2024 10:56:41:601073
210,24,12-11-2024 10:56:42:000374
211,24,12-11-2024 10:56:42:359638
212,24,12-11-2024 10:56:42:759950
213,24,12-11-2024 10:56:43:129264
214,24,12-11-2024 10:56:43:495313
215,24,12-11-2024 10:56:43:828566
216,24,12-11-2024 10:56:44:205332
217,24,12-11-2024 10:56:44:602612
218,24,12-11-2024 10:56:44:987432
219,24,12-11-2024 10:56:45:334718
220,24,12-11-2024 10:56:45:687983
221,24,12-11-2024 10:56:46:068275
222,24,12-11-2024 10:56:46:482608
223,25,12-11-2024 10:56:46:862918
224,25,12-11-2024 10:56:47:229709
225,25,12-11-2024 10:56:47:673576
226,25,12-11-2024 10:56:48:038386
227,25,12-11-2024 10:56:48:417106
228,23,12-11-2024 10:56:48:766795
229,23,12-11-2024 10:56:49:146134
230,23,12-11-2024 10:56:49:503861
231,23,12-11-2024 10:56:49:888493
232,23,12-11-2024 10:56:50:255810
233,23,12-11-2024 10:56:50:662686
234,27,12-11-2024 10:56:51:033437
235,27,12-11-2024 10:56:51:394434
236,25,12-11-2024 10:56:51:758335
237,25,12-11-2024 10:56:52:166652
238,25,12-11-2024 10:56:52:530633
239,25,12-11-2024 10:56:52:909348
240,25,12-11-2024 10:56:53:249620
241,25,12-11-2024 10:56:53:676456
242,25,12-11-2024 10:56:54:067892
243,25,12-11-2024 10:56:54:433750
244,25,12-11-2024 10:56:54:799051
245,25,12-11-2024 10:56:55:176344
246,25,12-11-2024 10:56:55:564655
247,25,12-11-2024 10:56:55:958970
248,25,12-11-2024 10:56:56:363297
249,25,12-11-2024 10:56:56:725582
250,25,12-11-2024 10:56:57:131381
251,25,12-11-2024 10:56:57:512174
252,25,12-11-2024 10:56:57:870470
253,25,12-11-2024 10:56:58:268272
254,25,12-11-2024 10:56:58:632063
255,24,12-11-2024 10:56:59:005361
256,24,12-11-2024 10:56:59:375643
257,23,12-11-2024 10:56:59:794968
258,23,12-11-2024 10:57:00:182259
259,23,12-11-2024 10:57:00:585068
260,22,12-11-2024 10:57:00:967205
261,22,12-11-2024 10:57:01:356027
262,22,12-11-2024 10:57:01:724811
263,22,12-11-2024 10:57:02:110653
264,22,12-11-2024 10:57:02:521009
265,21,12-11-2024 10:57:02:908843
266,21,12-11-2024 10:57:03:301691
